varza	41
nipapAta	41
yante	41
In	41
ityevam	41
en	41
hat	40
rAvaR	40
asmAkam	40
SaktaH	40
aRe	40
rakta	40
aha	40
dIptam	40
hetoH	40
sArDam	40
paTi	40
kula	40
triBiH	40
hate	40
InAm	40
ot	40
prajAH	40
dAruRam	40
sidDa	40
DarmeRa	40
guru	40
Sok	40
uk	40
avaH	40
suKa	40
divya	40
antare	40
rAjya	40
anuttamam	40
Arya	40
vAnaram	40
daSagrIvaH	40
asva	40
SoRita	40
tasTO	39
dIrGa	39
rARi	39
ambaram	39
praty	39
samudrasya	39
SokaH	39
cC	39
budDyA	39
kule	39
vIrAH	39
janam	39
kAr	39
and	39
kam	39
kumBakarRam	39
dfzwA	39
nEva	39
praB	39
pitf	39
yamAnaH	39
aDi	39
vAs	39
Pal	39
yanti	39
Tat	38
viviDAni	38
vEdehi	38
karmaRaH	38
sOmitrim	38
gatAH	38
upamam	38
rataH	38
ir	38
viDivat	38
antaram	38
jita	38
ramyam	38
SriyA	38
IdfSam	38
vAli	38
uS	38
avar	38
svasti	38
rakz	38
sumahat	38
jYaH	38
angadaH	38
veda	38
tale	38
cApam	38
gaja	38
sas	38
mAtaram	38
udakam	38
mam	38
AsTitaH	38
praBo	38
samkrudDaH	38
Atm	38
kARcana	38
samKye	37
Sakra	37
cet	37
yajYa	37
daSaraTasya	37
SabdaH	37
yayuH	37
antI	37
senA	37
araH	37
vIram	37
opi	37
niSAcaraH	37
aDipaH	37
tAsAm	37
hfdayam	37
SrezWa	37
samudram	37
samAsAdya	37
viSAla	37
rAGavO	37
viDam	37
vam	37
vit	37
jalam	37
dInam	37
parvatam	37
rAjye	37
gaRa	37
pUrva	37
prAp	37
vAm	37
Dik	37
Dar	37
one	36
vidyate	36
Bavanam	36
durAtmanaH	36
jagat	36
Aruroha	36
SuSuBe	36
Bakz	36
dvija	36
paruzam	36
matim	36
pUr	36
kOsalyAm	36
rocate	36
aT	36
aka	36
ambare	36
ga	36
tIkzREH	36
jAnAmi	36
ma	36
yata	36
pUrRa	36
ASritya	36
viveSa	36
rAjasya	36
akSh	36
nIlaH	36
nAga	36
parvataH	36
Ag	36
parvat	36
C	36
vAn	36
aRgadam	36
duHK	36
dIp	35
gfh	35
jal	35
guR	35
Sr	35
ayet	35
apriyam	35
BUta	35
lakSmaRaH	35
antu	35
utpapAta	35
dr	35
adyEva	35
kuruzva	35
vAsaH	35
mantriRaH	35
AkASe	35
pati	35
svena	35
urasi	35
arTe	35
inI	35
patra	35
drumAn	35
yO	35
yaT	35
praj	35
upacakrame	35
nIla	35
guREH	35
viT	35
kSh	35
eta	35
anumate	35
yaca	35
samud	35
samup	35
cicCeda	35
ruDiram	35
gaRAH	35
Dan	35
RaH	35
gireH	35
ara	35
are	35
hatAH	34
sAgarasya	34
sTAnam	34
parasparam	34
harIn	34
muK	34
pfTak	34
gfDra	34
pfTivyAm	34
jAtaH	34
raRa	34
Anica	34
anAm	34
tapta	34
muhuH	34
tulya	34
gaREH	34
pa	34
anyam	34
ayAm	34
iSh	34
AtmavAn	34
medinIm	34
mArgam	34
lok	34
hanUmAn	34
araRyam	34
puraskftya	34
panca	34
ani	34
nipetuH	34
sahasra	34
viBIzaRaH	34
sAgare	34
balAt	34
vyasanam	34
you	34
sadfSaH	34
upAgamat	34
paraH	34
utsfjya	34
devatAH	34
sUryaH	34
AjagAma	34
pradakziRam	33
Kara	33
mantra	33
hite	33
balaH	33
meG	33
sahasreRa	33
nandana	33
raja	33
suK	33
kEkeyIm	33
putrAn	33
hftA	33
uttamaH	33
GorEH	33
samAgamya	33
tv	33
SaktiH	33
antar	33
dfSyante	33
svanam	33
pary	33
Sabdena	33
deSe	33
harIRAm	33
nA	33
iRaH	33
teSAm	33
pAt	33
SrUyate	33
vaDe	33
mattaH	33
kuryAt	33
kulam	33
kila	33
darSana	33
ire	32
gacCati	32
dAr	32
hita	32
Ur	32
paSyan	32
ABam	32
iRA	32
SrezWam	32
nf	32
ti	32
SUlam	32
antO	32
tasyAm	32
kEkeyyA	32
rakzAmsi	32
lokezu	32
jAmbavAn	32
pAdO	32
ip	32
sams	32
Amca	32
sutA	32
anA	32
op	32
bAzpa	32
pr	32
Atmajam	32
BAzitam	32
sT	32
trayaH	32
sacivEH	32
raGunandana	32
muKaH	32
BUmiH	32
Ana	32
rAGav	32
tezu	32
yojanam	32
sArTam	32
manasaH	32
prat	32
karuRam	32
yaTa	32
rAt	32
tarasA	32
rakzasA	32
lokAnAm	32
sumantraH	32
raj	32
rav	32
teShAm	31
jIvitum	31
asmABiH	31
brUhi	31
mantr	31
deSaH	31
RAm	31
etasmin	31
avaSyam	31
ovA	31
kul	31
jAnakI	31
Binna	31
bAhuByAm	31
SuB	31
vart	31
enAm	31
mahAtmAnaH	31
iz	31
svargam	31
plavaga	31
anjaliH	31
samam	31
nihatya	31
Bartf	31
dAnava	31
tIram	31
ramyAm	31
kEkeyi	31
cara	31
svAm	31
nimittam	31
yan	31
dASaraTiH	31
akar	31
antIm	31
gaH	31
kftAm	31
anEH	31
cAr	31
prap	31
dIna	31
sumahAn	31
sampannaH	31
rAjaH	31
yase	31
sAgara	31
Barata	31
anyEH	31
upasTitam	31
surAH	31
budDi	31
Ata	31
mantriBiH	31
prItim	31
paScAt	31
It	31
vineduH	31
mUlam	31
SrezWaH	31
er	31
laRkAyAm	30
pfTivIm	30
vipulam	30
Sabdam	30
utsahe	30
rUp	30
vega	30
kanyA	30
locanaH	30
icCati	30
aRAm	30
akS	30
asA	30
eca	30
sUtam	30
niSA	30
mETili	30
priyaH	30
bahUn	30
anantaram	30
ABaraRa	30
mArutaH	30
ayAH	30
giriH	30
mAl	30
tattvataH	30
Darme	30
prIti	30
vAlinaH	30
pray	30
pAd	30
sad	30
Ir	30
gAm	30
bahuDA	30
lokAH	30
SrutaH	30
samkASam	30
lakzmaRO	30
inAm	30
vAr	30
q	30
vAyuH	30
mahAmuniH	30
daSaraTa	30
Dam	30
SrUyatAm	30
araRye	30
AsInam	29
vihAya	29
maDuram	29
punareva	29
dIrGam	29
nfpaH	29
opamam	29
rarAja	29
indr	29
samyak	29
mUrDni	29
BUmim	29
vivyADa	29
aScEva	29
lakSmaRam	29
janAH	29
ih	29
fz	29
Srotum	29
Aruhya	29
fzayaH	29
aDikam	29
girim	29
yaTAvat	29
praRamya	29
sU	29
satAm	29
ayAmi	29
brahman	29
indriyaH	29
may	29
rAGave	29
dattvA	29
tasmE	29
vis	29
eti	29
Aj	29
Bav	29
ABi	29
imAn	29
viBISaRam	29
jahi	28
akarot	28
Sca	28
ing	28
Ayat	28
Sastra	28
pAram	28
SitEH	28
SuBAm	28
Ara	28
BiH	28
bAR	28
utTAya	28
rakSh	28
SAsanAt	28
samantAt	28
vanezu	28
vasizWaH	28
Baratena	28
AjaGAna	28
jAn	28
anAt	28
Amiva	28
vikramAH	28
mfgaH	28
by	28
dUram	28
sarvaH	28
BrAtf	28
lakSmaRa	28
kftyam	28
parAkramam	28
Api	28
sUtaH	28
ayata	28
SakraH	28
DImatA	28
kAn	28
mfg	28
naBaH	28
Asi	28
kasmAt	28
AtmajA	28
ul	28
asTam	28
yad	28
vftam	28
parA	28
deSa	28
mAyA	28
puRya	28
Eva	28
nAg	28
pras	28
prad	28
hanumatA	28
samarTaH	28
SEl	28
yUTapAH	28
caturBiH	28
mahArAja	28
nAdam	28
parityajya	28
sAyakEH	28
veSma	28
tAr	28
nag	28
nad	28
BU	28
rakzoBiH	28
avana	28
paS	28
Bar	28
DArmikaH	28
udD	28
pArTiva	28
viSrutaH	28
viSezataH	28
PalAni	27
hast	27
akEH	27
sahitAH	27
han	27
indraH	27
sAgaraH	27
dAtum	27
nandanaH	27
BfSa	27
pUj	27
lokaH	27
aBihataH	27
tvad	27
trizu	27
niSAcarAH	27
caraRO	27
vAsinaH	27
kAkutsTaH	27
janakasya	27
raTena	27
Avftam	27
il	27
de	27
BUt	27
jaya	27
caturdaSa	27
KEkeyi	27
vikramam	27
jY	27
vAkyEH	27
ke	27
kAraRam	27
pAvakaH	27
sO	27
sr	27
kadA	27
uh	27
bilam	27
adBiH	27
mahItale	27
jAta	27
kal	27
kumBakarRasya	27
tIvram	27
angadam	27
sAD	27
AhuH	27
svanaH	27
sya	27
kftAH	27
rAjYaH	27
kroDam	27
pAp	27
akzam	27
BAti	27
Kam	27
Alayam	27
Sriyam	27
taram	27
vin	27
rakS	27
SuSrAva	27
trIn	27
AgatAH	27
strIRAm	27
AR	27
hariBiH	27
duz	27
kAraRAt	27
ruDira	27
vIr	27
samIpam	27
kAlasya	27
namaH	27
vilalApa	27
tan	27
yaSca	26
SarIram	26
plavaRgamAH	26
yAti	26
putrO	26
jAt	26
BavatA	26
Ama	26
agre	26
putr	26
SakyA	26
mudA	26
Asanam	26
ApannaH	26
kur	26
W	26
parivArya	26
SUla	26
amAnaH	26
amAnam	26
SElam	26
ftam	26
vfkzAn	26
vaktram	26
aRAH	26
asa	26
Apatantam	26
pure	26
duHKena	26
id	26
latA	26
anujaH	26
ne	26
salilam	26
sattamaH	26
tIkzRa	26
gamiShyAmi	26
mAt	26
st	26
se	26
akAn	26
mArutiH	26
hanumantam	26
rakzaH	26
sAraTiH	26
atuH	26
rAtrim	26
yama	26
BavantaH	26
SarAH	26
nAm	26
uktAH	26
pratigfhya	26
vftta	26
sAm	26
mahAtejaH	26
tumulam	26
Aropya	26
ala	26
bahuSaH	26
matta	26
viDi	26
annam	26
vih	26
vim	26
pUjitaH	26
utpatya	26
janEH	26
sattvam	26
upAgamya	26
BIm	26
yasi	26
etAn	26
fziH	26
rAkzaseSvaraH	26
uts	26
AM	26
pit	26
raR	26
Ram	26
hit	26
tejAH	26
Dana	26
samanvitaH	25
snehAt	25
SAsanam	25
reRa	25
mUla	25
dadAmi	25
uBiH	25
dfS	25
rAjJRaH	25
jay	25
jam	25
Bavatu	25
karmaRAm	25
kEkeyyAH	25
mfgAH	25
dvO	25
aRg	25
vApi	25
ayoDyA	25
AnanA	25
izwam	25
samAhitaH	25
anyA	25
sTAtum	25
apaSyat	25
Avftya	25
suc	25
ganD	25
P	25
draShwum	25
cIra	25
aG	25
simh	25
sattva	25
Asan	25
vaDa	25
vIryeRa	25
prasAdam	25
anga	25
ev	25
eS	25
nitya	25
karm	25
rud	25
iv	25
ikAH	25
arAH	25
astreRa	25
ru	25
ri	25
vidDi	25
ASritaH	25
M	25
uc	25
arAjake	25
avas	25
cak	25
sIta	25
kutaH	25
dvij	25
karizyAmi	25
gfhe	25
mitra	25
sattama	25
nava	25
mAruta	25
guruH	25
vEram	25
sarvasya	25
vik	25
mftyuH	25
asmAt	25
mAmsa	25
dInA	25
pram	25
praBAm	25
SfRu	25
vaS	25
viSAradaH	25
devAnAm	25
nIlam	25
vfkzEH	25
antara	25
tAByAm	25
gAH	25
pfTivI	25
bAhu	25
mahIpatiH	25
asaH	25
atvam	25
mUrDani	25
mahAbala	25
dizwyA	25
ayasva	25
kapim	25
muktA	25
dar	25
rAkSas	25
kowi	24
bARena	24
dfzwa	24
badDaH	24
maDura	24
mahAvIryaH	24
atyarTam	24
RA	24
samprati	24
prARa	24
kAlena	24
astra	24
patnI	24
kamala	24
hamsa	24
imO	24
BUtam	24
sut	24
vyap	24
naraH	24
drakzyasi	24
be	24
ake	24
SAstra	24
bAhum	24
miTyA	24
asT	24
janakAtmajA	24
gr	24
kariShyAmi	24
vatsa	24
rakSasAm	24
jIvan	24
tum	24
ja	24
vismayam	24
kop	24
izyanti	24
pakzi	24
vikrama	24
anv	24
Bay	24
sTitAH	24
tvaritam	24
pAvakam	24
SakyaH	24
yamca	24
pratiBAti	24
duHKitaH	24
SuciH	24
SareRa	24
kram	24
tizWa	24
aSru	24
tizWati	24
vI	24
mohAt	24
sIt	24
nagarIm	24
anyaTA	24
mAtuH	24
BUmi	24
yav	24
yas	24
vasati	24
sAr	24
vanAt	24
gaR	24
lakzmaR	24
yasmin	24
rAtrO	24
mada	24
men	24
Srut	24
ojasA	24
agr	24
etAm	24
guhaH	24
ugram	24
J	24
vasuDA	24
nay	24
vAt	24
aSani	24
asAm	24
pad	24
Eh	24
yUTapaH	24
amita	24
bruvARam	24
munayaH	24
utpAwya	23
viviDAH	23
mAlya	23
pARinA	23
vaDAya	23
nivart	23
coditaH	23
munim	23
yojana	23
puRyam	23
atikramya	23
SiKaram	23
SruRu	23
ajam	23
manyate	23
paramtapa	23
yAtaH	23
gaganam	23
prasAd	23
gajaH	23
kSipram	23
acC	23
antyaH	23
ikam	23
santi	23
plavangamAH	23
viditam	23
varDanaH	23
cApa	23
ez	23
fS	23
AgatA	23
SilA	23
vadanam	23
iSca	23
sahasram	23
aScApi	23
cAriRaH	23
iR	23
roma	23
banD	23
kArmukam	23
SvaH	23
sampannam	23
cintA	23
vanOkasaH	23
vinASAya	23
rAkzasI	23
ang	23
ASramaH	23
kizkinDAm	23
aSoka	23
pu	23
kurute	23
SoBate	23
Asu	23
triSirAH	23
vyAGra	23
son	23
paRca	23
Atmaja	23
AsasAda	23
citrEH	23
ayAmAsuH	23
avam	23
nimittAni	23
lakSmaRena	23
eSh	23
cirAt	23
kupitaH	23
uddiSya	23
kap	23
kaT	23
parizvajya	23
yaS	23
yak	23
etAni	23
vegavAn	23
mar	23
tumulaH	23
yaSasvinI	23
sevitam	23
paramtapaH	23
nAn	23
eyuH	23
gamanam	23
praR	23
svar	23
vad	23
vay	23
rAGavAya	23
rAvaRiH	23
vij	23
AyA	23
akft	23
laRk	23
ikzvAku	23
Ac	23
pAvaka	23
vAcaH	23
rAkzasendrasya	23
viSh	23
rAkzasendraH	23
uSca	22
dakziRAm	22
izyati	22
yASca	22
jag	22
mahatIm	22
ciCeda	22
kadAcana	22
viSvAmitra	22
indram	22
ISvara	22
kopa	22
akzaH	22
amARaH	22
BAminI	22
SatruH	22
dfzw	22
citram	22
purastAt	22
itena	22
arindama	22
dUtaH	22
jIvati	22
kOsalya	22
samAH	22
samAn	22
mfgam	22
veg	22
rEH	22
pARiH	22
vijYAya	22
es	22
balEH	22
amAn	22
ayantaH	22
IBiH	22
vAri	22
nATa	22
ig	22
SoBitam	22
panTAnam	22
ezAm	22
yAntam	22
mi	22
karaH	22
oh	22
SilAH	22
krudDam	22
avA	22
sn	22
indrasya	22
hem	22
uz	22
dfQa	22
darSanaH	22
nihate	22
amapi	22
janapade	22
Anu	22
cetanaH	22
V	22
Kar	22
anyAH	22
prAptAH	22
maD	22
AkIrRam	22
PalEH	22
astr	22
gar	22
SiKare	22
salila	22
